Exercício: 2018
Escopo: Estados/DF
Tabela: Despesas por Função (Anexo I-E)
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Valor
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"11.331 - Proteção e Benefícios ao Trabalhador";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"11.332 - Relações de Trabalho";1091631,6
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"11.333 - Empregabilidade";7920,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"11.334 - Fomento ao Trabalho";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"11.122 - Administração Geral";40166511,73
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"FU11 - Demais Subfunções";1222630,13
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"12 - Educação";2796153789,06
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"12.361 - Ensino Fundamental";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"12.362 - Ensino Médio";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"12.363 - Ensino Profissional";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"12.364 - Ensino Superior";17881345,1
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"12.365 - Educação Infantil";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"12.366 - Educação de Jovens e Adultos";2419461,19
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"12.367 - Educação Especial";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"12.368 - Educação Básica";2433332825,52
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"12.122 - Administração Geral";327190174,42
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"FU12 - Demais Subfunções";15329982,83
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"13 - Cultura";50375733,52
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"13.391 - Patrimônio Histórico, Artístico e Arqueológico";589511,56
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"13.392 - Difusão Cultural";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"13.122 - Administração Geral";20056259,94
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"FU13 - Demais Subfunções";29729962,02
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"14 - Direitos da Cidadania";542110782,21
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"14.421 - Custódia e Reintegração Social";103660450,9
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"14.422 - Direitos Individuais, Coletivos e Difusos";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"14.423 - Assistência aos Povos Indígenas";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"14.122 - Administração Geral";390640534,84
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"FU14 - Demais Subfunções";47809796,47
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"15 - Urbanismo";60943412,12
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"15.451 - Infraestrutura Urbana";32170589,05
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"15.452 - Serviços Urbanos";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"15.453 - Transportes Coletivos Urbanos";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"15.122 - Administração Geral";28218814,61
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"FU15 - Demais Subfunções";554008,46
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"16 - Habitação";4966162,47
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"16.481 - Habitação Rural";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"16.482 - Habitação Urbana";4966162,47
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"16.122 - Administração Geral";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"FU16 - Demais Subfunções";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"17 - Saneamento";2436121,82
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"17.511 - Saneamento Básico Rural";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"17.512 - Saneamento Básico Urbano";902210,96
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"17.122 - Administração Geral";1533910,86
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"FU17 - Demais Subfunções";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"18 - Gestão Ambiental";134045131,03
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"18.541 - Preservação e Conservação Ambiental";5714989,05
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"18.542 - Controle Ambiental";6710692,17
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"18.543 - Recuperação de Áreas Degradadas";7892,5
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"18.544 - Recursos Hídricos";1523140,28
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"18.545 - Meteorologia";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"18.122 - Administração Geral";109942640,55
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"FU18 - Demais Subfunções";10145776,48
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"19 - Ciência e Tecnologia";85841577,28
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"19.571 - Desenvolvimento Científico";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"19.572 - Desenvolvimento Tecnológico e Engenharia";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"19.573 - Difusão do Conhecimento Científico e Tecnológico";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"19.122 - Administração Geral";31745627,51
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"FU19 - Demais Subfunções";54095949,77
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"20 - Agricultura";329992957,75
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"20.605 - Abastecimento";4360,58
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"20.606 - Extensão Rural";2886309,57
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"20.607 - Irrigação";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"20.608 - Promoção da Produção Agropecuária";9674517,53
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"20.609 - Defesa Agropecuária";6825573,98
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"20.122 - Administração Geral";306334653,77
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"FU20 - Demais Subfunções";4267542,32
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"21 - Organização Agrária";10562258,92
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"21.631 - Reforma Agrária";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"21.632 - Colonização";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"21.122 - Administração Geral";10482187,12
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"FU21 - Demais Subfunções";80071,8
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"22 - Indústria";32255329,77
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"22.661 - Promoção Industrial";630615,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"22.662 - Produção Industrial";630,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"22.663 - Mineração";110939,46
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"22.664 - Propriedade Industrial";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"22.665 - Normalização e Qualidade";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"22.122 - Administração Geral";31220237,7
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"FU22 - Demais Subfunções";292907,61
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"23 - Comércio e Serviços";66738940,55
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"23.691 - Promoção Comercial";737759,26
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"23.692 - Comercialização";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"23.693 - Comércio Exterior";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"23.694 - Serviços Financeiros";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"23.695 - Turismo";37377033,97
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"23.122 - Administração Geral";27380259,06
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"FU23 - Demais Subfunções";1243888,26
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"24 - Comunicações";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"24.721 - Comunicações Postais";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"24.722 - Telecomunicações";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"24.122 - Administração Geral";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"FU24 - Demais Subfunções";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"25 - Energia";3105526,03
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"25.751 - Conservação de Energia";352075,55
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"25.752 - Energia Elétrica";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"25.753 - Combustíveis Minerais";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"25.754 - Biocombustíveis";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"25.122 - Administração Geral";2434264,41
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"FU25 - Demais Subfunções";319186,07
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"26 - Transporte";766176787,81
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"26.781 - Transporte Aéreo";3282009,37
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"26.782 - Transporte Rodoviário";708426886,84
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"26.783 - Transporte Ferroviário";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"26.784 - Transporte Hidroviário";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"26.785 - Transportes Especiais";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"26.122 - Administração Geral";36869152,35
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"FU26 - Demais Subfunções";17598739,25
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"27 - Desporto e Lazer";16421243,04
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"27.811 - Desporto de Rendimento";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"27.812 - Desporto Comunitário";3717619,93
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"27.813 - Lazer";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"27.122 - Administração Geral";11159728,43
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"FU27 - Demais Subfunções";1543894,68
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"28 - Encargos Especiais";1193547768,48
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"28.841 - Refinanciamento da Dívida Interna";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"28.842 - Refinanciamento da Dívida Externa";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"28.843 - Serviço da Dívida Interna";648430872,3
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"28.844 - Serviço da Dívida Externa";270852744,32
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"28.845 - Outras Transferências";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"28.846 - Outros Encargos Especiais";273830722,36
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"28.847 - Transferências para a Educação Básica";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"FU28 - Demais Subfunções";433429,5
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Empenhadas";"Despesas Intraorçamentárias";1481545633,88
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Liquidadas";"Despesas Exceto Intraorçamentárias";16415492419,89
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Liquidadas";"01 - Legislativa";716645185,66
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Liquidadas";"01.031 - Ação Legislativa";37951970,8
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Liquidadas";"01.032 - Controle Externo";39398577,41
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Liquidadas";"01.122 - Administração Geral";553040530,79
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Liquidadas";"FU01 - Demais Subfunções";86254106,66
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Liquidadas";"02 - Judiciária";1156504254,13
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Liquidadas";"02.061 - Ação Judiciária";44940743,59
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Liquidadas";"02.062 - Defesa do Interesse Público no Processo Judiciário";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Liquidadas";"02.122 - Administração Geral";1045912610,65
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Liquidadas";"FU02 - Demais Subfunções";65650899,89
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Liquidadas";"03 - Essencial à Justiça";453501778,98
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Liquidadas";"03.091 - Defesa da Ordem Jurídica";1412439,52
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Liquidadas";"03.092 - Representação Judicial e Extrajudicial";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Liquidadas";"03.122 - Administração Geral";440321189,7
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Liquidadas";"FU03 - Demais Subfunções";11768149,76
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Liquidadas";"04 - Administração";893730164,22
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Liquidadas";"04.121 - Planejamento e Orçamento";41593,36
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Liquidadas";"04.122 - Administração Geral";811393864,64
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Liquidadas";"04.123 - Administração Financeira";14613626,45
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Liquidadas";"04.124 - Controle Interno";3288833,14
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Liquidadas";"04.125 - Normatização e Fiscalização";269691,44
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Liquidadas";"04.126 - Tecnologia da Informação";25380561,21
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Liquidadas";"04.127 - Ordenamento Territorial";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Liquidadas";"04.128 - Formação de Recursos Humanos";754716,16
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Liquidadas";"04.129 - Administração de Receitas";15872758,21
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Liquidadas";"04.130 - Administração de Concessões";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Liquidadas";"04.131 - Comunicação Social";18696201,57
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Liquidadas";"FU04 - Demais Subfunções";3418318,04
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Liquidadas";"05 - Defesa Nacional";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Liquidadas";"05.151 - Defesa Área";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Liquidadas";"05.152 - Defesa Naval";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Liquidadas";"05.153 - Defesa Terrestre";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Liquidadas";"05.122 - Administração Geral";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Liquidadas";"FU05 - Demais Subfunções";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Liquidadas";"06 - Segurança Pública";2004744755,39
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Liquidadas";"06.181 - Policiamento";46123328,56
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Liquidadas";"06.182 - Defesa Civil";6248134,55
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Liquidadas";"06.183 - Informação e Inteligência";6413785,54
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Liquidadas";"06.122 - Administração Geral";1913723396,03
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Liquidadas";"FU06 - Demais Subfunções";32236110,71
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Liquidadas";"07 - Relações Exteriores";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Liquidadas";"07.211 - Relações Diplomáticas";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Liquidadas";"07.212 - Cooperação Internacional";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Liquidadas";"07.122 - Administração Geral";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Liquidadas";"FU07 - Demais Subfunções";0,00
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Liquidadas";"08 - Assistência Social";12988565,56
Governo do Estado do Mato Grosso;51;MT;3305531;"Despesas Liquidadas";"08.241 - Assistência ao Idoso";0,00
